Year,Make,Model,Price,Price Rating,Exterior,Interior,miles,Fuel Type,Transmission,Cylinders,Drive
2024,Volvo,S60 Plus Dark Theme FWD,"$27,487",Excellent Price,Silver Dawn Metallic,Black,7260,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme AWD,"$30,499",Excellent Price,Denim Blue Metallic,Black,1473,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC40 Recharge Plus,"$28,189",Excellent Price,Onyx Black Metallic,Charcoal,21512,Electric,Automatic,"L - Electric, L - Electric",AWD
2024,Volvo,S60 Plus Dark Theme FWD,"$27,487",Excellent Price,Silver Dawn Metallic,Black,7260,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme FWD,"$26,985",Excellent Price,Onyx Black Metallic,Unknown,11124,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme FWD,"$26,785",Excellent Price,Onyx Black Metallic,Unknown,14254,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC60 B5 Plus Dark Theme AWD,"$28,699",Great Price,Denim Blue Metallic,Charcoal,58234,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Plus Dark Theme FWD,"$26,987",Excellent Price,Gray,Black,13293,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme FWD,"$26,987",Excellent Price,Dark Blue,Blue,14713,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme FWD,"$26,987",Excellent Price,Crystal White Metallic,Black,21232,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme FWD,"$26,987",Excellent Price,Gray,Black,12476,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme FWD,"$26,987",Great Price,Silver Dawn Metallic,Black,18292,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$26,998",Excellent Price,Crystal White Metallic,Black,24235,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC90 B6 Plus 7-Passenger AWD,"$40,998",Excellent Price,Gray,Black,30365,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$23,995",Excellent Price,Onyx Black Metallic,Unknown,6094,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$27,998",Fair Price,Gray,Black,17631,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,C40 Recharge Twin Plus eAWD,"$18,995",Excellent Price,Black Stone,Unknown,59088,Electric,Automatic,"L - Electric, L - Electric",AWD
2023,Volvo,XC60 B5 Core AWD,"$34,998",Great Price,Denim Blue Metallic,Black,16679,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$27,998",Fair Price,Gray,Black,18134,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$26,998",Fair Price,Crystal White Metallic,Black,19471,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$21,995",Excellent Price,Crystal White Metallic,Unknown,20115,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,C40 Recharge Twin Plus eAWD,"$19,995",Excellent Price,Black Stone,Unknown,66739,Electric,Automatic,"L - Electric, L - Electric",AWD
2024,Volvo,S60 Plus Dark Theme FWD,"$29,600",Great Price,Onyx Black Metallic,Charcoal,9945,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,C40 Recharge Twin Plus eAWD,"$21,995",Excellent Price,Crystal White Metallic,Unknown,52743,Electric,Automatic,"L - Electric, L - Electric",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$26,998",Fair Price,Crystal White Metallic,Black,27389,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$22,995",Excellent Price,Gray,Unknown,23852,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC90 B6 Plus 7-Passenger AWD,"$41,995",Great Price,Denim Blue Metallic,Beige,30496,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,XC60 Plus Dark Theme,"$40,900",Fair Price,Crystal White Metallic,Blond,9350,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC90 B6 Plus 7-Passenger AWD,"$42,998",Great Price,Crystal White Metallic,Blond,26981,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$22,995",Excellent Price,Gray,Unknown,21288,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$22,995",Excellent Price,Silver Dawn Metallic,Unknown,17193,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$22,995",Excellent Price,Onyx Black Metallic,Unknown,16963,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$22,995",Excellent Price,Silver Dawn Metallic,Unknown,19365,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC40 Recharge Plus,"$28,189",Excellent Price,Onyx Black Metallic,Charcoal,21512,Electric,Automatic,"L - Electric, L - Electric",AWD
2024,Volvo,S60 Plus Dark Theme FWD,"$26,987",Great Price,Gray,Black,19282,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,C40 Recharge Twin Ultimate AWD,"$43,500",Excellent Price,Silver Dawn Metallic,Charcoal/Fjord Blue,713,Electric,Automatic,"L - Electric, L - Electric",AWD
2023,Volvo,XC60 B5 Plus Dark Theme AWD,"$28,699",Great Price,Denim Blue Metallic,Charcoal,58234,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,XC40 Ultimate Dark Theme,"$39,200",Great Price,Fjord Blue Metallic,Charcoal,5319,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,XC90 Plus Bright Theme 7-Passenger,"$44,000",Great Price,Denim Blue Metallic,Charcoal,10443,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme AWD,"$27,987",Great Price,Denim Blue Metallic,Black,11229,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC90 B5 Plus 7-Passenger AWD,"$39,920",Great Price,Crystal White Metallic,Black,26993,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,XC40 Recharge Ultimate Twin Motor eAWD,"$45,900",Excellent Price,Fjord Blue Metallic,Charcoal/Fjord Blue,1435,Electric,Automatic,"L - Electric, L - Electric",AWD
2024,Volvo,S60 Core Dark Theme AWD,"$26,987",Great Price,Denim Blue Metallic,Black,20423,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$24,900",Excellent Price,Onyx Black Metallic,Unknown,17637,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme FWD,"$29,600",Great Price,Onyx Black Metallic,Charcoal,9945,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$23,995",Great Price,Gray,Unknown,23538,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC60 B5 Core AWD,"$34,998",Great Price,Denim Blue Metallic,Black,16679,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC90 B6 Plus 7-Passenger AWD,"$41,995",Great Price,Denim Blue Metallic,Beige,30496,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$23,995",Great Price,Gray,Unknown,15204,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC90 B6 Plus 7-Passenger AWD,"$42,998",Great Price,Crystal White Metallic,Blond,26981,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$26,998",Fair Price,Crystal White Metallic,Black,27389,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$23,995",Great Price,Gray,Unknown,21156,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$27,998",Fair Price,Gray,Black,18134,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$26,998",Fair Price,Crystal White Metallic,Black,19471,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$23,995",Great Price,Gray,Unknown,21569,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,XC60 Plus Dark Theme,"$40,900",Fair Price,Crystal White Metallic,Blond,9350,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$23,995",Great Price,Gray,Unknown,17571,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,XC40 Plus Bright Theme,"$35,689",Excellent Price,Fjord Blue Metallic,Blonde,8573,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$22,995",Excellent Price,Gray,Unknown,19628,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC90 B5 Plus 7-Passenger AWD,"$36,495",Great Price,Crystal White Metallic,Unknown,36745,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC90 B5 Core 7-Passenger AWD,"$39,998",Excellent Price,Gray,Black,19162,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$26,998",Fair Price,Gray,Black,24040,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC60 B5 Plus Dark Theme FWD,"$33,500",Great Price,Silver Dawn Metallic,Charcoal,28334,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC40 B5 Ultimate Bright Theme AWD,"$33,500",Great Price,Fjord Blue Metallic,Blond,43164,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$23,995",Great Price,Gray,Unknown,21569,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$23,995",Great Price,Gray,Unknown,17571,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$26,998",Fair Price,Crystal White Metallic,Black,20018,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$22,995",Excellent Price,Gray,Unknown,19628,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,XC40 Ultimate Dark Theme,"$37,500",Excellent Price,Vapor Grey Metallic,Charcoal,3965,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC90 B5 Plus 7-Passenger AWD,"$36,495",Great Price,Crystal White Metallic,Unknown,36745,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,XC90 Plus Bright Theme 7-Passenger,"$51,998",Fair Price,Crystal White Metallic,Black,7781,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC90 B6 Core 7-Passenger AWD,"$41,000",Excellent Price,Crystal White Metallic,Maroon,29914,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$26,998",Fair Price,Gray,Black,18019,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC90 Recharge Core Bright Theme 7-Passenger,"$51,300",Great Price,Crystal White Metallic,Maroon,23312,Plug-In Hybrid,Automatic,,AWD
2024,Volvo,XC40 Core Dark Theme,"$30,987",Fair Price,Silver,Black,12620,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Plus Dark Theme FWD,"$34,000",Great Price,Bright Dusk Metallic,Blond,5196,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme AWD,"$33,500",Fair Price,Denim Blue Metallic,Blond,13710,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$27,998",Fair Price,Denim Blue Metallic,Black,17733,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC90 B6 Plus 7-Passenger AWD,"$41,920",Excellent Price,Crystal White Metallic,Black,21218,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,V60 Cross Country Ultimate,"$48,000",Great Price,Thunder Grey Metallic,Maroon Brown,5885,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$27,998",High Price,Crystal White Metallic,Black,17977,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$27,998",Fair Price,Onyx Black Metallic,Black,19020,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme AWD,"$28,500",Excellent Price,Crystal White Metallic,Blond,27355,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$28,998",High Price,Onyx Black Metallic,Gray,15947,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC90 B5 Core 7-Passenger AWD,"$39,998",Excellent Price,Gray,Black,19162,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$27,998",High Price,Gray,Black,18329,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$27,998",High Price,Onyx Black Metallic,Black,14902,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,XC40 Plus Bright Theme,"$35,689",Excellent Price,Fjord Blue Metallic,Blonde,8573,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC90 B6 Plus 7-Passenger AWD,"$37,995",Great Price,Onyx Black Metallic,Unknown,45743,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,XC60 Recharge Plus Dark Theme,"$46,900",Fair Price,Bright Dusk Metallic,Blond,24587,Plug-In Hybrid,Automatic,,AWD
2024,Volvo,S60 Core Dark Theme FWD,"$35,000",Fair Price,Vapour Grey Metallic,Blond,4005,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme AWD,"$31,000",Excellent Price,Platinum Grey Metallic,Charcoal,9677,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$24,495",Fair Price,Onyx Black Metallic,Unknown,15548,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,C40 Recharge Twin Plus eAWD,"$22,995",Excellent Price,Crystal White Metallic,Unknown,38784,Electric,Automatic,"L - Electric, L - Electric",AWD
2023,Volvo,XC60 Recharge Core Bright Theme,"$38,500",Fair Price,Silver Dawn Metallic,Charcoal,35917,Plug-In Hybrid,Automatic,,AWD
2024,Volvo,XC60 Plus Dark Theme,"$33,500",Fair Price,Bright Dusk Metallic,Blond,10227,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC90 B5 Plus 7-Passenger AWD,"$43,500",Fair Price,Onyx Black Metallic,Charcoal,18602,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Plus Dark Theme AWD,"$33,900",High Price,Denim Blue Metallic,Blond,15833,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Plus Dark Theme AWD,"$31,000",Excellent Price,Onyx Black Metallic,Charcoal,8709,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC60 B5 Plus Bright Theme AWD,"$40,998",High Price,Gray,Black,9426,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$27,998",High Price,Onyx Black Metallic,Black,19639,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,C40 Recharge Twin Ultimate eAWD,"$27,995",Great Price,Crystal White Metallic,Unknown,27913,Electric,Automatic,"L - Electric, L - Electric",AWD
2024,Volvo,XC90 Plus Bright Theme 7-Passenger,"$52,500",Fair Price,Denim Blue Metallic,Blond,6898,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$28,998",High Price,Gray,Black,19653,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme AWD,"$35,200",Fair Price,Denim Blue Metallic,Blond,7421,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Plus Dark Theme AWD,"$30,600",Great Price,Thunder Grey Metallic,Charcoal,10471,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC60 B6 Ultimate Dark Theme AWD,"$46,500",Fair Price,Platinum Grey Metallic,Charcoal,5826,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Plus Dark Theme FWD,"$34,500",High Price,Denim Blue Metallic,Blond,6736,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$28,998",High Price,Denim Blue Metallic,Black,17081,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC60 B5 Plus Dark Theme AWD,"$37,998",High Price,Gray,Black,21933,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,XC90 Plus Bright Theme 6-Passenger,"$45,900",Excellent Price,Onyx Black Metallic,Blond,25811,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$24,995",Fair Price,Gray,Unknown,15319,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,V90 Cross Country Ultimate,"$45,900",Fair Price,Onyx Black Metallic,Amber,41152,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Plus Dark Theme AWD,"$30,900",Great Price,Platinum Grey Metallic,Charcoal,10641,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme AWD,"$26,987",Great Price,Denim Blue Metallic,Black,23478,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,XC90 Plus Bright Theme 7-Passenger,"$52,000",Fair Price,Crystal White Metallic,Blond,8147,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme AWD,"$26,987",Great Price,Denim Blue Metallic,Black,20884,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$25,988",Great Price,Silver Dawn Metallic,Unknown,16037,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$24,995",Fair Price,Crystal White Metallic,Unknown,22023,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,XC40 Recharge Ultimate Twin Motor eAWD,"$47,500",Fair Price,Sage Green Metallic,Midnight Zinc,1799,Electric,Automatic,"L - Electric, L - Electric",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$23,995",Great Price,Crystal White Metallic,Unknown,21913,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,XC40 Core Bright Theme,"$32,000",Great Price,Crystal White Metallic,Charcoal,9372,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,XC40 Core Bright Theme,"$37,900",High Price,Vapor Gray Metallic,Charcoal,3643,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,XC60 Recharge Ultimate Dark Theme,"$59,000",Fair Price,Vapour Grey Metallic,Blond,10161,Plug-In Hybrid,Automatic,,AWD
2023,Volvo,XC90 Recharge Plus Bright Theme 7-Passenger,"$56,000",Fair Price,Platinum Grey Metallic,Charcoal,12880,Plug-In Hybrid,Automatic,,AWD
2024,Volvo,XC90 Plus Bright Theme 6-Passenger,"$45,900",Excellent Price,Onyx Black Metallic,Blond,25811,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$28,998",High Price,Denim Blue Metallic,Black,17081,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2023,Volvo,XC60 B5 Plus Bright Theme AWD,"$39,000",Fair Price,Crystal White Metallic,Blond,18772,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC60 B5 Plus Bright Theme AWD,"$40,998",High Price,Gray,Black,9426,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC60 B5 Plus Dark Theme AWD,"$37,998",High Price,Gray,Black,21933,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Plus Dark Theme AWD,"$30,900",Great Price,Platinum Grey Metallic,Charcoal,10641,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2025,Volvo,XC40 Plus Bright Theme,"$45,990",Excellent Price,Sage Green Metallic,Ud70,527,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2023,Volvo,XC60 B5 Plus Bright Theme AWD,"$39,900",High Price,Crystal White Metallic,Blond,8220,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$35,000",High Price,Denim Blue Metallic,Blond,5707,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$24,995",Fair Price,Onyx Black Metallic,Unknown,17922,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$24,995",Fair Price,Crystal White Metallic,Unknown,21747,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Plus Dark Theme AWD,"$29,998",Excellent Price,Denim Blue Metallic,Black,13627,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$24,995",Fair Price,Denim Blue Metallic,Unknown,16605,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$25,995",High Price,Gray,Unknown,17775,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,S60 Core Dark Theme FWD,"$25,995",High Price,Onyx Black Metallic,Unknown,17250,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
2024,Volvo,XC40 Core Bright Theme,"$32,000",Great Price,Crystal White Metallic,Charcoal,9372,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",AWD
2024,Volvo,S60 Core Dark Theme FWD,"$25,995",High Price,Gray,Unknown,17202,Gas,Automatic,"20L Inline-4 Gas Inline, 2.0L Inline-4 Gas Inline",FWD
